Movie,Month,Day,Release Year,Budget($M),Domestic Gross($M),Worldwide Gross($M)
Singin' in the Rain,Apr,10,1952,2.54,7.2,7.2
The Sound of Music,Apr,1,1965,8.2,163.214286,286.214286
Casino Royale,Apr,28,1967,12,22.744718,41.744718
2001: A Space Odyssey,Apr,2,1968,10.5,56.7,68.7
The Conversation,Apr,7,1974,1.6,4.42,4.42
Family Plot,Apr,9,1976,3,13.2,13.2
Annie Hall,Apr,20,1977,4,38.251425,38.251425
F.I.S.T,Apr,13,1978,11,20.38892,20.38892
Dawn of the Dead,Apr,20,1979,1.5,5.1,55
Friday the 13th Part 2,Apr,30,1981,1.25,21.722776,21.722776
Nighthawks,Apr,10,1981,5,14.6,19.6
The Howling,Apr,10,1981,1,17.985,17.985
Cat People,Apr,2,1982,12.5,7,21
Diner,Apr,2,1982,5,12.592907,12.592907
Flashdance,Apr,15,1983,7,90.463574,201.463574
Lone Wolf McQuade,Apr,15,1983,5,12.232628,12.232628
Losin' It,Apr,8,1983,7,1.246141,1.246141
The Evil Dead,Apr,15,1983,0.375,2.4,29.4
Ladyhawke,Apr,12,1985,20,18.4,18.4
Legend,Apr,18,1986,25,15.502112,23.506237
Salvador,Apr,23,1986,4.5,1.5,1.5
Lady in White,Apr,22,1988,4.7,1.705139,1.705139
Major League,Apr,7,1989,11,49.793054,49.793054
Pet Sematary,Apr,21,1989,11.5,57.469179,57.469179
Spaced Invaders,Apr,27,1990,3,15,15
The Player,Apr,10,1992,8,21.706101,28.876702
Bound by Honor,Apr,16,1993,35,4.496583,4.496583
The Adventures of Huck Finn,Apr,2,1993,6.5,24.103594,24.103594
The Dark Half,Apr,23,1993,15,9.579068,9.579068
PCU,Apr,29,1994,9,4.333569,4.333569
Serial Mom,Apr,13,1994,13,7.881335,7.881335
The Inkwell,Apr,22,1994,8,8.864699,8.864699
Bad Boys,Apr,7,1995,23,65.647413,141.247413
Don Juan DeMarco,Apr,7,1995,25,22.032635,22.032635
Friday,Apr,26,1995,3.5,27.467564,27.936778
Kiss of Death,Apr,21,1995,40,14.942422,14.942422
Rob Roy,Apr,7,1995,28,31.390587,31.390587
A Thin Line Between Love & Hate,Apr,3,1996,8,34.873513,34.873513
Faithful,Apr,5,1996,13,2.104439,2.104439
Mrs. Winterbourne,Apr,19,1996,25,10.039566,10.039566
